case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
26,1,3,1,335,650,y
26,1,3,1,335,650,n
242,5,3,2,600,475,y
242,5,3,2,460,475,n
275,6,3,2,350,375,y
275,6,3,2,335,375,n
416,5,3,2,800,1166,y
416,5,3,2,650,1166,n
467,5,3,2,525,437,y
467,5,3,2,350,437,n
868,1,3,1,166,685,y
868,1,3,1,350,685,n
907,1,3,1,407,360,y
907,1,3,1,335,360,n
1072,3,2,1,333,650,y
1072,3,2,1,460,650,n
1073,7,2,2,375,340,y
1073,7,2,2,365,340,n
1234,5,3,2,800,500,y
1234,5,3,2,800,500,n
1424,1,3,1,550,1125,y
1424,1,3,1,1075,1125,n
1452,4,1,1,55,650,y
1452,4,1,1,650,650,n
1485,3,2,1,650,375,y
1485,3,2,1,450,375,n
1571,5,3,2,257,275,y
1571,5,3,2,350,275,n
1584,5,3,2,415,390,y
1584,5,3,2,340,390,n
1645,4,1,1,581,825,y
1645,4,1,1,900,825,n
1666,8,1,2,550,335,y
1666,8,1,2,525,335,n
1679,1,3,1,600,518,y
1679,1,3,1,700,518,n
1715,3,2,1,550,425,y
1715,3,2,1,450,425,n
1838,8,1,2,705,340,y
1838,8,1,2,340,340,n
1922,5,3,2,400,350,y
1922,5,3,2,335,350,n
2062,5,3,2,500,180,y
2062,5,3,2,265,180,n
2133,5,3,2,153,201,y
2133,5,3,2,335,201,n
2149,1,3,1,500,275,y
2149,1,3,1,300,275,n
2177,1,3,1,500,425,y
2177,1,3,1,500,425,n
2360,7,2,2,377,350,y
2360,7,2,2,335,350,n
2415,1,3,1,465,575,y
2415,1,3,1,335,575,n
2435,5,3,2,500,414,y
2435,5,3,2,335,414,n
2694,4,1,1,666,500,y
2694,4,1,1,350,500,n
2783,1,3,1,1011,850,y
2783,1,3,1,925,850,n
3002,4,1,1,375,388,y
3002,4,1,1,335,388,n
3620,1,3,1,509,390,y
3620,1,3,1,375,390,n
3681,5,3,2,400,500,y
3681,5,3,2,335,500,n
4252,5,3,2,565,244,y
4252,5,3,2,350,244,n
4270,7,2,2,244,256,y
4270,7,2,2,335,256,n
4315,3,2,1,750,530,y
4315,3,2,1,550,530,n
4352,6,3,2,750,555,y
4352,6,3,2,181,555,n
4373,5,3,2,500,335,y
4373,5,3,2,400,335,n
4431,7,2,2,475,325,y
4431,7,2,2,425,325,n
4797,5,3,2,365,325,y
4797,5,3,2,335,325,n
4829,1,3,1,335,500,y
4829,1,3,1,335,500,n
4836,2,3,1,968,1100,y
4836,2,3,1,600,1100,n
4841,5,3,2,357,252,y
4841,5,3,2,406,252,n
4845,1,3,1,1197,450,y
4845,1,3,1,550,450,n
4848,5,3,2,335,335,y
4848,5,3,2,335,335,n
4858,1,3,1,1045,550,y
4858,1,3,1,800,550,n
4884,1,3,1,600,525,y
4884,1,3,1,575,525,n
5004,1,3,1,388,266,y
5004,1,3,1,350,266,n
5097,1,3,1,308,165,y
5097,1,3,1,310,165,n
5216,5,3,2,450,335,y
5216,5,3,2,335,335,n
5218,4,1,1,935,500,y
5218,4,1,1,350,500,n
5323,1,3,1,417,468,y
5323,1,3,1,310,468,n
5388,5,3,2,335,335,y
5388,5,3,2,335,335,n
5597,5,3,2,370,312,y
5597,5,3,2,365,312,n
5774,14,1,2,385,385,y
5774,14,1,2,412,385,n
5826,14,1,2,576,567,y
5826,14,1,2,600,567,n
5864,11,1,1,365,420,y
5864,11,1,1,405,420,n
5879,11,1,1,1150,671,y
5879,11,1,1,840,671,n
5891,9,3,1,475,450,y
5891,9,3,1,385,450,n
6001,10,2,1,335,405,y
6001,10,2,1,335,405,n
6164,13,2,2,600,312,y
6164,13,2,2,600,312,n
6186,10,2,1,700,600,y
6186,10,2,1,675,600,n
6240,13,2,2,406,300,y
6240,13,2,2,350,300,n
6331,12,3,2,375,400,y
6331,12,3,2,335,400,n
6695,12,3,2,445,430,y
6695,12,3,2,335,430,n
6751,10,2,1,504,337,y
6751,10,2,1,335,337,n
6830,12,3,2,465,300,y
6830,12,3,2,335,300,n
6996,10,2,1,335,600,y
6996,10,2,1,335,600,n
7194,13,2,2,320,273,y
7194,13,2,2,580,273,n
7598,13,2,2,500,201,y
7598,13,2,2,325,201,n
7648,13,2,2,402,435,y
7648,13,2,2,450,435,n
7678,13,2,2,1666,345,y
7678,13,2,2,345,345,n
7889,9,3,1,425,475,y
7889,9,3,1,375,475,n
7973,14,1,2,437,310,y
7973,14,1,2,385,310,n
7990,14,1,2,437,437,y
7990,14,1,2,450,437,n
8074,10,2,1,500,666,y
8074,10,2,1,400,666,n
8159,11,1,1,1010,495,y
8159,11,1,1,335,495,n
8168,11,1,1,750,600,y
8168,11,1,1,510,600,n
8169,14,1,2,85,622,y
8169,14,1,2,450,622,n
8301,11,1,1,283,300,y
8301,11,1,1,335,300,n
8361,11,1,1,610,633,y
8361,11,1,1,650,633,n
8426,10,2,1,620,360,y
8426,10,2,1,495,360,n
8533,12,3,2,488,350,y
8533,12,3,2,650,350,n
8537,13,2,2,331,329,y
8537,13,2,2,360,329,n
8748,12,3,2,375,350,y
8748,12,3,2,200,350,n
9019,13,2,2,385,345,y
9019,13,2,2,345,345,n
9364,14,1,2,447,300,y
9364,14,1,2,335,300,n
9401,13,2,2,335,375,y
9401,13,2,2,400,375,n
9415,12,3,2,335,400,y
9415,12,3,2,335,400,n
9651,11,1,1,560,285,y
9651,11,1,1,365,285,n
9709,12,3,2,705,421,y
9709,12,3,2,186,421,n
9759,13,2,2,400,335,y
9759,13,2,2,345,335,n
9868,11,1,1,450,375,y
9868,11,1,1,365,375,n
9886,11,1,1,436,250,y
9886,11,1,1,375,250,n
10110,9,3,1,335,142,y
10110,9,3,1,335,142,n
10120,9,3,1,350,345,y
10120,9,3,1,365,345,n
10146,9,3,1,506,425,y
10146,9,3,1,425,425,n
10251,9,3,1,444,132,y
10251,9,3,1,310,132,n
10469,10,2,1,500,500,y
10469,10,2,1,375,500,n
10573,14,1,2,825,500,y
10573,14,1,2,335,500,n
10588,12,3,2,556,335,y
10588,12,3,2,335,335,n
10666,16,2,1,350,600,y
10666,16,2,1,550,600,n
10712,19,2,2,335,333,y
10712,19,2,2,375,333,n
10720,18,3,2,200,350,y
10720,18,3,2,200,350,n
10846,15,3,1,550,625,y
10846,15,3,1,550,625,n
10958,19,2,2,345,465,y
10958,19,2,2,345,465,n
10987,18,3,2,333,314,y
10987,18,3,2,335,314,n
11192,16,2,1,416,400,y
11192,16,2,1,375,400,n
11239,15,3,1,835,600,y
11239,15,3,1,450,600,n
11441,15,3,1,375,325,y
11441,15,3,1,415,325,n
11515,15,3,1,1402,730,y
11515,15,3,1,450,730,n
11798,7,2,2,335,335,y
11798,7,2,2,335,335,n
11824,1,3,1,384,355,y
11824,1,3,1,335,355,n
11844,4,1,1,407,260,y
11844,4,1,1,335,260,n
11875,1,3,1,175,325,y
11875,1,3,1,335,325,n
12028,5,3,2,350,335,y
12028,5,3,2,350,335,n
12098,8,1,2,400,475,y
12098,8,1,2,350,475,n
12380,9,3,1,400,500,y
12380,9,3,1,350,500,n
12469,9,3,1,500,585,y
12469,9,3,1,400,585,n
12578,15,3,1,1121,950,y
12578,15,3,1,1700,950,n
